,ITEM_ID,ALTURA,COR,LARGURA,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
144932,256332650,36.5,3,23.5,3,2.5,216.567384788,69.99,0.0
145038,261898968,30.0,1,51.0,1,51.0,60.0658964683,84.99,0.0
145068,261893940,26.0,1,29.0,1,45.0,686.548595898,64.99,1.0
145081,261893992,19.0,1,32.0,1,50.0,852.834574306,74.99,0.0
145141,261898968,30.0,1,51.0,1,51.0,323.28736267,84.99,0.0
145179,261900884,46.0,1,30.0,1,41.0,843.78938678,64.99,0.0
145243,261901098,21.0,1,36.0,1,59.0,316.438377798,149.99,0.0
145261,261893992,19.0,1,32.0,1,50.0,447.288407937,112.49,0.0
145298,261894118,26.0,1,29.0,1,45.0,483.48807212,74.99,0.0
145299,261894118,26.0,1,29.0,1,45.0,235.65778644,74.99,0.0
145338,261901098,21.0,1,36.0,1,59.0,517.9183177230001,149.99,0.0
145364,261894118,26.0,1,29.0,1,45.0,697.9109771660001,74.99,0.0
145428,261898968,30.0,1,51.0,1,51.0,912.9546200839999,84.99,0.0
145452,260010352,26.0,1,29.0,1,45.0,713.729795825,71.938,1.0
145459,261893940,26.0,1,29.0,1,45.0,677.7626727859999,68.464,0.0
145553,261900884,46.0,1,30.0,1,41.0,166.881826668,64.99,1.0
145574,261894150,19.0,1,32.0,1,50.0,439.118960261,169.99,0.0
145594,260013662,30.0,1,51.0,1,51.0,686.548595898,99.99,1.0
145599,260011516,26.0,1,29.0,2,45.0,313.46590203,64.99,0.0
145709,260007226,23.0,1,25.0,1,34.0,516.280158743,37.24,0.0
145725,260013586,19.0,1,32.0,1,50.0,547.492280838,61.115,0.0
145814,261898968,30.0,1,51.0,1,51.0,729.2718694839999,84.99,0.0
145838,261893992,19.0,1,32.0,1,50.0,938.8514788939999,99.99,0.0
145879,261893992,19.0,1,32.0,1,50.0,446.531697851,92.49,0.0
145902,261898968,30.0,1,51.0,1,51.0,592.649026916,84.99,0.0
145911,261894118,26.0,1,29.0,1,45.0,753.6420734339999,74.99,1.0
145959,261901098,21.0,1,36.0,1,59.0,682.927079476,149.99,0.0
145988,260010352,26.0,1,29.0,1,45.0,519.804108054,54.99,0.0
146017,261901098,21.0,1,36.0,1,59.0,663.188847547,149.99,1.0
146040,260010352,26.0,1,29.0,1,45.0,680.864126638,54.99,0.0
146059,261893940,26.0,1,29.0,1,45.0,531.627393879,64.99,1.0
146080,261893940,26.0,1,29.0,1,45.0,512.75709728,77.4675925926,0.0
146090,261894118,26.0,1,29.0,1,45.0,977.0907511710001,89.9451851852,0.0
146095,260010352,26.0,1,29.0,1,45.0,469.60774308,54.99,0.0
146147,260013662,30.0,1,51.0,1,51.0,934.2352329,99.99,0.0
146176,261894150,19.0,1,32.0,1,50.0,486.77616623,169.99,0.0
146188,261894118,26.0,1,29.0,1,45.0,22.605480809699998,81.9,0.0
146200,260010352,26.0,1,29.0,1,45.0,531.1000262059999,54.99,0.0
146218,261894118,26.0,1,29.0,1,45.0,429.08653274,81.9,0.0
146222,261893940,26.0,1,29.0,1,45.0,932.228391746,66.0446666667,0.0
146260,261894118,26.0,1,29.0,1,45.0,116.28700808200001,95.0,0.0
146285,261893992,19.0,1,32.0,1,50.0,982.0904546160001,99.99,0.0
146381,261893992,19.0,1,32.0,1,50.0,237.92611986900002,87.49,0.0
146440,261894118,26.0,1,29.0,1,45.0,338.342232585,74.99,0.0
146453,260011902,26.0,1,29.0,2,45.0,173.14579592400003,23.99,0.0
146460,256332650,36.5,3,23.5,3,2.5,961.65313457,49.49,0.0
146474,261894118,26.0,1,29.0,1,45.0,32.6049546733,74.99,0.0
146512,256332650,36.5,3,23.5,3,2.5,345.67086984800005,74.99,0.0
146624,261894118,26.0,1,29.0,1,45.0,502.871811466,74.99,0.0
146711,261898968,30.0,1,51.0,1,51.0,171.493768426,84.99,0.0
146766,260010106,46.0,1,30.0,1,41.0,779.8167767660001,37.99,0.0
146789,261900970,30.0,1,51.0,1,51.0,377.29219947800004,66.49,0.0
146797,260010704,46.0,1,30.0,2,41.0,81.3129920121,94.99,0.0
146830,260010106,46.0,1,30.0,1,41.0,360.658767861,37.99,0.0
146861,260010704,46.0,1,30.0,2,41.0,820.8746533389999,112.53,0.0
146864,261894118,26.0,1,29.0,1,45.0,319.739731427,74.99,0.0
146890,261894118,26.0,1,29.0,1,45.0,15.380334918399999,74.99,0.0
146947,256329434,48.0,3,26.0,3,2.5,519.611361373,82.4675925926,0.0
146961,261894118,26.0,1,29.0,1,45.0,615.833855843,89.9451851852,0.0
146967,261893940,26.0,1,29.0,1,45.0,705.1761918110001,82.4675925926,0.0
146990,261894118,26.0,1,29.0,1,45.0,754.623715543,74.99,0.0
147031,261893940,26.0,1,29.0,1,45.0,625.489167957,64.99,0.0
147032,261893992,19.0,1,32.0,1,50.0,387.81395458199995,99.99,0.0
147045,261894118,26.0,1,29.0,1,45.0,178.321290031,74.99,1.0
147051,261900884,46.0,1,30.0,1,41.0,149.570297163,64.99,0.0
147141,260013554,26.0,1,29.0,1,45.0,50.0903129921,82.5,1.0
147171,261893992,19.0,1,32.0,1,50.0,1000.29863995,60.24500000000001,0.0
147235,260010106,46.0,1,30.0,1,41.0,154.941227096,37.99,0.0
147304,261894150,19.0,1,32.0,1,50.0,93.7173201399,103.99,0.0
147321,261894150,19.0,1,32.0,1,50.0,511.934698028,169.99,0.0
147424,260010384,46.0,1,30.0,2,41.0,891.4898292610001,37.99,0.0
147541,261894118,26.0,1,29.0,1,45.0,655.600238868,74.99,0.0
147576,261893992,19.0,1,32.0,1,50.0,667.891296017,99.99,0.0
147594,261898968,30.0,1,51.0,1,51.0,245.91834453599998,84.99,0.0
147606,261893940,26.0,1,29.0,1,45.0,465.19558419199996,64.99,0.0
147631,260009916,46.0,1,30.0,1,41.0,9.71884600899,75.01,0.0
147638,260010352,26.0,1,29.0,1,45.0,789.1034877330002,97.36,0.0
147673,261894118,26.0,1,29.0,1,45.0,962.425030119,74.99,0.0
147782,260009916,46.0,1,30.0,1,41.0,755.350831458,59.99,0.0
147810,261894118,26.0,1,29.0,1,45.0,852.506458755,76.372,0.0
147895,260011902,26.0,1,29.0,2,45.0,317.956417382,23.99,0.0
147958,261900970,30.0,1,51.0,1,51.0,720.8503546510001,138.74,0.0
147968,261893940,26.0,1,29.0,1,45.0,277.752688084,64.99,0.0
147982,260010106,46.0,1,30.0,1,41.0,937.745775791,37.99,1.0
148014,261894118,26.0,1,29.0,1,45.0,874.206062819,74.99,0.0
148031,260010704,46.0,1,30.0,2,41.0,358.31373488300005,79.99,0.0
148058,261898968,30.0,1,51.0,1,51.0,896.521723131,84.99,0.0
148086,261900884,46.0,1,30.0,1,41.0,282.304719917,64.99,1.0
148163,260010704,46.0,1,30.0,2,41.0,177.41036543599998,76.65666666666667,0.0
148200,260010384,46.0,1,30.0,2,41.0,108.003516124,88.32333333333332,0.0
148201,261893992,19.0,1,32.0,1,50.0,511.934698028,99.99,0.0
148229,261901098,21.0,1,36.0,1,59.0,273.221366129,149.99,0.0
