,ITEM_ID,CAPACIDADE_(L),COMPOSICAO,COR,MARCA,PARA_LAVA_LOUCAS,TEMPO_GARANTIA,TEM_FERRO_FUNDIDO,SESSION_ID,ITEM_PRICE,INTERESTED
150594,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,475.82066257699995,110.899245283,0.0
150796,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,980.405340152,193.8996226415,0.0
150914,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,866.0290891310001,276.9,0.0
151005,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,388.72088349300003,193.8996226415,0.0
151109,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,648.965207901,110.899245283,0.0
151267,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,234.555037649,103.3646226415,0.0
151360,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,998.9205156060001,95.83,0.0
151499,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,116.16364803299999,95.83,0.0
151826,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,568.762631645,95.83,0.0
152010,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,334.00077147400003,95.83,0.0
152140,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,278.803660262,349.99,0.0
152224,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,751.947698319,248.95,0.0
152341,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,848.5347246480001,147.91,0.0
152413,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,103.18485201200001,121.87,0.0
152423,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,844.8672844189999,95.83,0.0
152614,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,2.94665810592,151.876097561,0.0
152798,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,325.732240057,95.83,0.0
153036,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,292.121254607,95.8646428571,0.0
153300,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,58.269712352700004,95.83,0.0
153607,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,955.011484765,95.83,0.0
153703,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,692.228691294,95.83,0.0
153710,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,921.8160732539999,110.35127272700001,0.0
153885,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,69.45013895560001,199.99,0.0
154270,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,911.9154277719999,110.35127272700001,0.0
154564,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,27.1891248642,95.83,0.0
154669,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,718.985323519,147.91,0.0
154810,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,926.164067548,121.444814815,0.0
154848,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,526.728758408,95.8646428571,0.0
154912,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,117.18657829200001,95.83,0.0
155118,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,746.532179727,95.83,0.0
155293,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,615.141992144,95.83,1.0
155943,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,340.910539672,110.35127272700001,0.0
156068,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,284.18421078299997,95.83,0.0
157087,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,334.237416224,95.83,0.0
157263,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,747.119151442,95.8585294118,0.0
157343,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,214.162203038,95.83,0.0
157776,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,787.637476878,103.3646226415,0.0
158160,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,156.451218517,110.899245283,0.0
158439,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,53.5216720442,95.83,0.0
159079,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,961.5154106839999,151.876097561,0.0
159525,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,211.55589858,123.85304878049999,0.0
159831,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,879.812717665,95.83,0.0
160134,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,212.62389006400002,95.83,0.0
160135,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,155.3610964167,95.83,0.0
160457,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,98.09830276940001,110.899245283,0.0
160677,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,831.466175187,95.8646428571,0.0
160915,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,135.889899055,95.83,0.0
160989,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,721.7244498680001,95.83,0.0
161310,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,991.182068875,95.83,0.0
162041,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,205.704689679,95.83,0.0
162323,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,785.6579877839999,95.83,0.0
162951,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,651.924785417,95.83,0.0
163611,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,83.2204234643,95.83,0.0
163823,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,67.4026699458,95.83,0.0
164119,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,284.445391486,276.9,0.0
164197,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,924.2556283089999,186.36499999999998,0.0
164593,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,414.98074498,95.83,0.0
164893,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,994.996443862,97.78,0.0
165157,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,286.21445313,104.3396226415,0.0
165172,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,551.279546367,110.899245283,0.0
165319,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,635.878950077,110.35127272700001,0.0
165672,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,474.661085196,95.83,0.0
166488,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,153.118060547,95.83,0.0
166507,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,60.4408488541,150.39,0.0
167011,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,163.905563687,165.27,0.0
167181,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,741.72961033,121.444814815,0.0
167258,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,238.262918627,95.83,0.0
167630,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,279.216620158,95.8585294118,0.0
167844,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,420.242352025,95.83,0.0
168142,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,405.600455563,95.83,0.0
168428,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,361.373838954,117.244,0.0
168612,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,796.4548711169999,276.9,0.0
168723,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,167.86594285799998,107.980135135,0.0
