,ITEM_ID,MARCA,TEM_FERRO_FUNDIDO,TEM_TAMPA,TIPO_WOK,SESSION_ID,ITEM_PRICE,INTERESTED
161206,13863712,1,1,0.0,1,718.426782324,98.7461538462,0.0
161209,255487712,6,1,0.0,1,63.698155954499995,71.6769565217,0.0
161222,245842002,3,1,0.0,1,283.77984704224997,115.83347826084999,0.0
161236,259620110,9,2,1.0,1,503.86153813,159.99,1.0
161238,225903566,2,1,0.0,1,105.417457307,130.656666667,0.0
161262,259620356,9,2,1.0,1,238.792095969,47.99,0.0
161282,245842054,3,1,0.0,1,172.48971142099998,39.99,0.0
161285,218994466,7,1,1.0,1,208.444198497,119.9,1.0
161295,225903448,2,1,0.0,1,971.2702244689999,89.99,0.0
161296,13863712,1,1,0.0,1,183.143217335,96.9,0.0
161305,242956508,5,1,0.0,1,16.8262497143,29.7,1.0
161330,653352,1,1,0.0,1,681.087184996,140.9,0.0
161335,245842246,3,1,0.0,1,931.3542825530001,52.9433333333,0.0
161365,257488824,4,1,0.0,1,960.183529454,26.99,0.0
161376,257488824,4,1,0.0,1,708.4457228260001,26.99,0.0
161390,257488824,4,1,0.0,1,302.944910023,29.742,0.0
161411,218994466,7,1,1.0,1,400.136958059,132.9,0.0
161416,255487712,6,1,0.0,1,682.84260327,83.99,0.0
161440,218994466,7,1,1.0,1,37.5399584078,132.9,0.0
161457,259619710,9,2,1.0,1,216.13535991400002,124.9,0.0
161462,257488824,4,1,0.0,1,599.328203098,26.861428571399998,0.0
161472,218994466,7,1,1.0,1,335.766106619,119.9,0.0
161475,255487712,6,1,0.0,1,405.68940021699996,89.99,0.0
161483,255487712,6,1,0.0,1,872.084610122,85.50914893619998,0.0
161498,257488824,4,1,0.0,1,818.5908798639999,29.99,0.0
161500,242956508,5,1,0.0,1,50.31545473600001,29.7,0.0
161503,225903566,2,1,0.0,1,64.68365040399999,134.99,1.0
161508,259619742,9,2,0.0,1,883.696308137,237.72,0.0
161520,257796924,8,1,0.0,1,302.12331587,340.45,0.0
161530,257531582,8,1,0.0,1,634.793623883,259.9,0.0
161531,11996250,1,1,0.0,1,272.627641009,93.9,0.0
161558,257168242,4,1,0.0,1,35.2225821299,101.54,0.0
161573,245841736,3,1,0.0,1,230.817564772,35.5011111111,0.0
161618,257796924,8,1,0.0,1,44.3763989666,366.0,0.0
161633,259619742,9,2,0.0,1,937.155834086,80.01,0.0
161639,257531986,8,1,0.0,1,912.484423868,399.9,0.0
161645,257531582,8,1,0.0,1,859.5640277639999,261.773333333,0.0
161651,255487712,6,1,0.0,1,13.688631158800002,89.99,0.0
161672,257532624,8,1,0.0,1,385.425294431,82.49,0.0
161678,259620430,9,2,1.0,1,768.2525802010001,74.99,0.0
161698,242956508,5,1,0.0,1,426.16662696099996,29.7,0.0
161704,245841682,3,1,0.0,1,983.78969992,27.19,0.0
161708,242956508,5,1,0.0,1,2.52650227541,29.7,1.0
161718,257796924,8,1,0.0,1,264.722353202705,314.9,0.0
161720,13863716,1,1,0.0,1,526.91820413,172.29999999999995,0.0
161725,242956508,5,1,0.0,1,751.078728626,29.7,0.0
161732,259619742,9,2,0.0,1,663.250065607,59.13,0.0
161752,653352,1,1,0.0,1,497.044281782,51.7725,0.0
161756,257531582,8,1,0.0,1,594.7367833,44.415,0.0
161765,257168362,4,1,0.0,1,530.655018648,37.05750000000001,0.0
161775,242956508,5,1,0.0,1,672.859844602,29.7,0.0
161780,13863712,1,1,0.0,1,20.411569335899998,99.9,0.0
161792,225903448,2,1,0.0,1,737.3249292060001,89.99,0.0
161793,257168362,4,1,0.0,1,826.071678593,132.0,0.0
161797,255487712,6,1,0.0,1,321.245532887,89.99,0.0
161807,257488824,4,1,0.0,1,352.964257656,26.99,1.0
161813,10697200,1,1,0.0,1,447.10577231800005,26.99,0.0
161828,242956508,5,1,0.0,1,761.8995307910001,26.99,0.0
161830,242956508,5,1,0.0,1,636.766417117,39.35,0.0
161837,242956508,5,1,0.0,1,926.098376295,29.7,0.0
161839,257165854,4,1,0.0,1,303.348059278,68.0,0.0
161842,260011708,10,2,1.0,1,241.697740985,47.99,0.0
161850,242956508,5,1,0.0,1,832.809670054,26.99,0.0
161861,257165624,4,1,0.0,1,570.0821250619999,67.9,0.0
161877,255487712,6,1,0.0,1,342.053993992,89.99,0.0
161885,257168362,4,1,0.0,1,358.015437761,164.0,0.0
161896,245841682,3,1,0.0,1,693.651104303,32.99,0.0
161911,259619902,9,2,1.0,1,941.694548888,31.345,0.0
161916,242956508,5,1,0.0,1,967.67783526,29.7,0.0
161939,259619742,9,2,0.0,1,982.3310577,59.13,0.0
161951,255487712,6,1,0.0,1,218.247652013,89.99,0.0
161956,263055906,14,1,0.0,1,67.6447205378,47.99,0.0
161968,242956508,5,1,0.0,1,394.47305104699996,29.7,0.0
161985,245841768,3,1,0.0,1,190.437089297,69.845,0.0
161987,259619710,9,2,1.0,1,45.6493112811,109.99,0.0
162002,255487712,6,1,0.0,1,654.5447482019999,89.99,0.0
162008,255487712,6,1,0.0,1,113.050002021,89.99,0.0
162019,255487712,6,1,0.0,1,760.43113093,89.99,0.0
162024,258461382,4,1,1.0,1,341.91524444,90.11,0.0
162064,242956508,5,1,0.0,1,330.47043544900004,29.7,0.0
162067,240761108,12,1,1.0,1,280.986777673,244.99,0.0
162074,257531582,8,1,0.0,1,5.13629152946,288.0,0.0
162092,255487712,6,1,0.0,1,873.187579889,89.99,0.0
162095,257531986,8,1,0.0,1,799.7860966569998,399.9,0.0
162096,245841962,3,1,0.0,1,452.7330721205,244.945,0.0
162105,255487712,6,1,0.0,1,105.680047584,89.99,1.0
162136,242956508,5,1,0.0,1,65.98265418285,26.99,1.0
162140,240761674,12,1,0.0,1,26.2852607817,95.87700000000001,0.0
162145,13863716,1,1,0.0,1,313.436060164,164.764,0.0
162190,259616188,9,2,1.0,1,98.24856853799999,74.99,0.0
162195,259619838,9,2,0.0,1,52.234671957799996,48.76,0.0
162200,255487712,6,1,0.0,1,127.12273690399999,75.95,0.0
162212,255487712,6,1,0.0,1,576.2707496209999,89.99,0.0
162224,225903416,2,1,0.0,1,661.459105251,89.99,0.0
162236,255487712,6,1,0.0,1,740.5060464789999,77.9061764706,0.0
162253,257488824,4,1,0.0,1,709.752650788,26.99,0.0
162263,225903448,2,1,0.0,1,377.02335681,89.99,0.0
162265,13863712,1,1,0.0,1,379.53665056,95.148,0.0
162267,257796924,8,1,0.0,1,310.530697572,366.0,0.0
162270,259620430,9,2,1.0,1,904.8223578669999,74.99,0.0
162280,256483588,11,2,0.0,1,216.33814534,220.495,0.0
162296,257796924,8,1,0.0,1,665.057048897,366.0,0.0
162303,257170702,4,1,0.0,1,57.210548206300004,96.71,0.0
162307,11996250,1,1,0.0,1,283.325785703,92.81,0.0
162316,257531986,8,1,0.0,1,383.271648043,299.99,0.0
162320,242956508,5,1,0.0,1,150.032255435,29.7,0.0
162325,239173742,11,1,0.0,1,258.8337038,25.262647058800002,0.0
162345,257490350,4,1,0.0,1,394.114257095,20.8252941176,0.0
162373,225903608,2,1,0.0,1,350.742663659,159.99,0.0
162378,10697204,1,1,0.0,1,662.3817482000002,132.29,0.0
162425,242956508,5,1,0.0,1,55.9439930587,29.7,0.0
162453,257165854,4,1,0.0,1,647.911528151,55.14803030304999,0.0
162462,255487712,6,1,0.0,1,538.194052038,80.5960606061,0.0
