,ITEM_ID,ALTURA,CAPACIDADE_(L),LARGURA,PARA_LAVA_LOUCAS,PESO,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
70472,14807856,29.2,3.1,22.5,Yes,585.0,10.6,807.471689084,83.44,0.0
70711,10697196,29.2,5.7,22.5,No,585.0,10.6,113.484443596,83.44,0.0
70782,14807856,29.2,3.1,22.5,Yes,585.0,10.6,192.432481037,83.44,0.0
70889,14807856,29.2,3.1,22.5,Yes,585.0,10.6,263.881297118,87.2736363636,0.0
70902,14807856,29.2,3.1,22.5,Yes,585.0,10.6,667.1384783369999,83.44,0.0
71413,10697192,29.2,1.7,22.5,No,585.0,10.6,548.563936716,88.17,0.0
71648,14807856,29.2,3.1,22.5,Yes,585.0,10.6,173.02587597099998,92.9,0.0
71844,14807856,29.2,3.1,22.5,Yes,585.0,10.6,628.85175203,109.99,0.0
71990,14807856,29.2,3.1,22.5,Yes,585.0,10.6,625.605998469,87.1069565217,0.0
72375,14807852,25.3,1.7,18.1,Yes,460.0,10.0,641.774934486,86.79931159419999,0.0
72925,14807856,29.2,3.1,22.5,Yes,585.0,10.6,964.111688156,86.4916666667,0.0
73128,14807856,29.2,3.1,22.5,Yes,585.0,10.6,762.1912054339999,86.1576470588,0.0
73747,14807856,29.2,3.1,22.5,Yes,585.0,10.6,686.9215192280001,89.9,0.0
73882,14807856,29.2,3.1,22.5,Yes,585.0,10.6,406.20634405199996,86.3548148148,0.0
73942,14807852,25.3,1.7,18.1,Yes,460.0,10.0,325.828642872,64.9,1.0
74319,10697196,25.3,5.7,18.1,No,460.0,10.0,302.55758261,83.45785714300001,0.0
74360,14807852,25.3,1.7,18.1,Yes,460.0,10.0,176.307001491,102.015714286,0.0
74574,14807852,25.3,1.7,18.1,Yes,460.0,10.0,452.75287700800004,103.94,0.0
75050,14807856,29.2,3.1,22.5,Yes,585.0,10.6,148.122081602,103.9,0.0
75095,14807852,25.3,1.7,18.1,Yes,460.0,10.0,559.222444621,105.30625,0.0
75110,14807852,25.3,1.7,18.1,Yes,460.0,10.0,126.15961145799999,105.30625,0.0
75669,14807856,29.2,3.1,22.5,Yes,585.0,10.6,783.684566508,86.3548148148,0.0
75919,14807856,29.2,3.1,22.5,Yes,585.0,10.6,26.8928912823,103.9,0.0
76008,14807856,29.2,3.1,22.5,Yes,585.0,10.6,597.513872676,83.44,0.0
76278,14807856,29.2,3.1,22.5,Yes,585.0,10.6,158.043521954,97.064,0.0
76612,14807856,29.2,3.1,22.5,Yes,585.0,10.6,348.81151806400004,85.8536363636,0.0
77886,14807856,29.2,3.1,22.5,Yes,585.0,10.6,192.02218423,83.44,0.0
79292,14807852,25.3,1.7,18.1,Yes,460.0,10.0,646.144787931,103.94,0.0
79613,14807852,25.3,1.7,18.1,Yes,460.0,10.0,113.667912625,95.49,1.0
79730,10697196,26.6,5.7,19.566666666666666,No,501.6666666666667,10.2,453.31042925400004,93.62666666666667,0.0
